x,y
494,586
1250,1325
1005,5
475,277
905,1796
125,677
483,608
718,1372
1345,1658
65,77
1015,1619
248,791
934,1778
174,779
1187,1036
1307,981
1077,857
295,1401
1066,604
1561,761
502,1917
1110,1026
1057,1849
215,1048
670,1554
1132,1168
611,923
661,1016
1644,256
1182,523
944,761
1834,1085
1288,670
1241,779
1747,283
503,1508
681,1168
227,902
1291,1716
656,1104
1244,1610
1294,1141
1196,838
870,156
156,1281
16,557
1433,1412
381,596
1668,597
1344,1240
645,158
482,584
312,432
1627,251
425,1044
944,465
1987,1279
38,1197
303,1931
1337,1855
936,274
1244,817
1336,439
789,949
227,9
111,858
993,1639
1959,810
1174,526
989,1251
350,180
859,959
1343,669
835,1485
442,286
1123,262
1046,1703
407,1383
1370,753
1763,1665
1147,307
1708,312
1629,376
154,1981
1632,1343
1406,1988
366,942
1137,1048
88,592
1641,1196
1607,1701
357,1372
1065,1507
1521,685
1174,974
252,72
1571,1326
616,119
1225,192
1175,1436
1717,691
1633,817
1533,527
220,184
603,1081
1685,1652
1286,520
1616,1037
1003,598
396,1161
1701,538
1172,915
1492,1320
1662,846
1717,864
1098,1630
1875,998
1596,335
603,556
609,1097
1776,434
1992,1160
1870,377
578,1376
1259,1602
701,613
1713,1529
1349,959
1048,1210
929,719
1762,1325
599,161
533,1582
362,1595
532,753
821,1859
885,1266
1134,1116
1067,1908
729,893
1569,276
965,747
227,1939
1867,752
1155,1041
233,623
142,307
1315,635
445,1145
1853,898
620,34
1512,599
370,1143
1428,868
1715,869
912,1388
1436,708
1059,1499
1668,268
1172,168
320,990
482,442
876,1161
53,1992
1332,1532
1271,800
1872,894
503,829
1623,1701
1898,1089
1163,147
119,1552
601,1880
129,1680
1792,862
1166,1465
1318,1715
1602,1839
1329,1665
1812,1963
1074,845
1254,452
1670,183
1637,730
1389,1769
1596,1577
1370,7
1831,78
1113,310
1082,1495
883,1296
1142,786
1209,702
670,1016
771,133
128,1608
1292,684
1450,825
1423,34
1170,519
318,1342
1434,1706
1756,1256
1228,1204
836,544
1408,876
1940,1040
1385,111
292,287
1359,870
67,1602
732,995
1015,1940
1937,656
1978,1207
1662,1284
1516,1924
1223,694
313,965
1903,774
1109,1595
967,1313
1285,1589
1438,1297
15,162
1300,312
948,1531
409,733
526,1780
720,1566
45,855
1395,827
1880,1574
1506,1292
1783,766
569,546
178,645
274,1144
1113,1923
1598,1527
1700,550
371,519
1619,1188
470,1180
1944,307
1649,1342
498,1979
3,445
43,1581
824,613
1359,1752
919,266
1624,356
814,1294
137,1977
899,1307
277,1499
603,1599
1671,1488
544,1706
142,529
1397,999
309,919
305,1620
1315,1572
192,1579
1023,1131
271,106
464,1597
482,1971
448,1746
786,1404
1304,1378
268,913
767,934
1086,1870
125,1130
540,467
832,1192
1317,1907
618,1207
815,1553
129,1626
993,428
1971,245
1605,522
1829,1057
143,713
607,1827
1920,1767
1145,1862
654,737
978,1372
1968,283
1995,565
1147,982
746,1764
1358,565
1488,1331
1359,57
1390,130
1381,161
1903,1459
1894,1700
574,1596
26,594
231,357
1632,1920
446,648
1696,119
44,582
1619,993
1145,1089
1702,1372
774,1256
801,1139
830,321
553,998
653,1451
1687,983
1061,280
1283,472
1313,149
1022,1670
801,64
642,537
1817,1374
1124,695
123,1739
1046,1153
35,1387
223,1928
1480,1185
622,381
1788,1221
351,1378
808,1204
109,936
961,472
1751,700
974,671
1512,1057
1163,1120
978,1609
544,626
874,1474
1482,124
1506,416
1798,937
194,1998
251,552
1212,1432
1349,853
1941,665
1291,1610
1734,537
702,1502
1291,1051
649,1458
135,725
413,497
64,30
280,1257
976,533
343,543
465,850
1215,744
1481,1536
494,895
770,382
1516,212
578,133
1197,1093
1344,265
1756,1685
934,1158
556,929
437,1091
1475,854
1117,185
134,1003
1882,626
5,1330
1101,1701
589,75
691,262
1707,994
1186,1207
174,1630
1406,408
974,1884
1671,1898
247,1696
1458,1214
1851,905
1388,862
828,1630
1123,449
1640,858
977,1574
887,1871
1341,501
1410,1523
1713,162
1702,1096
1043,583
197,1130
1188,1893
734,1141
1993,1979
938,908
881,1511
1516,813
186,51
1758,1263
443,1780
1205,1282
1632,972
651,34
1349,1261
352,1931
249,37
1636,744
631,1490
1230,558
248,911
116,317
1146,741
1109,1250
684,348
1584,113
1992,1359
1848,274
673,1618
50,1800
505,1120
782,483
16,1446
593,996
1991,696
349,433
109,1947
1640,496
1348,756
1302,1404
698,153
1200,1552
1977,826
1696,157
1203,1081
211,1303
1653,1332
163,1576
1262,3
1813,1231
1260,314
475,190
132,1606
626,480
242,557
1008,1454
1039,1320
1764,940
1090,336
759,1009
972,595
357,157
611,1718
1242,1573
1986,1331
1506,420
1820,1581
1500,259
1345,310
1723,1395
543,1660
1939,632
1928,513
125,1169
399,1762
1716,381
22,349
710,768
1134,1536
1003,1300
936,1775
1524,1386
817,1525
160,1486
1604,1897
1117,1072
394,434
106,429
1632,778
337,326
229,1417
663,1168
108,1739
95,427
1378,677
841,416
1517,1564
384,343
1470,216
1499,1947
1531,963
227,1924
1402,367
294,1595
941,1749
996,960
191,1400
1797,1255
582,1740
377,413
194,494
1525,1769
536,1227
1964,783
161,135
1467,1827
1880,1874
1250,1856
1571,232
1000,1461
1986,1465
1988,1860
1266,1035
1016,360
371,848
232,1109
1081,1602
1686,1571
1560,688
1735,945
1903,1198
88,952
890,1661
1550,503
723,1567
370,1891
1927,990
1780,206
1177,761
848,674
1239,1860
1477,1297
1078,1394
496,172
990,1033
501,1101
1228,1888
1359,503
1846,1872
591,370
1815,1658
4,1452
168,1499
1416,1495
992,877
1882,1173
1449,1517
276,105
487,1131
1171,1137
1330,1665
1399,892
611,1092
690,527
922,1240
1691,586
152,1839
1205,357
80,276
999,1984
850,511
136,1984
111,397
772,272
187,907
1342,1406
1390,1382
1738,1369
493,1052
675,1478
1159,791
841,1221
134,1926
1825,1581
767,675
1514,1210
383,1312
1197,412
441,1777
861,1996
733,663
1765,1247
1770,1583
740,1205
763,706
1344,1609
615,1352
186,1219
283,1098
168,1352
802,871
36,1771
181,795
307,25
1621,34
473,1222
1078,1728
112,669
1216,1884
467,1066
373,1593
873,406
1168,1208
739,225
1623,1710
1336,472
618,307
684,1743
137,111
29,489
586,928
417,1749
1358,1094
1550,1768
282,1623
1267,839
420,1296
1186,763
1398,697
1800,26
201,975
280,594
94,601
1255,260
903,1268
1970,666
1653,1188
1567,766
385,530
27,1655
1054,1709
1013,153
624,1947
835,1288
628,1442
508,1663
888,1107
500,380
857,1285
339,1214
150,20
489,1878
121,729
587,1852
1653,1733
1855,563
81,1072
681,1021
1031,1668
1698,290
230,1790
524,1267
1140,354
389,223
213,421
61,339
1446,1579
871,650
425,100
950,316
1436,909
1490,733
429,949
255,1141
675,1730
1783,1136
1797,1415
458,837
191,1562
1599,1664
715,1255
849,994
1215,1792
899,1605
1337,723
898,1032
1820,992
834,528
942,1623
1860,998
1242,280
542,1968
1161,1535
899,754
1547,1473
162,43
118,1437
578,938
602,427
950,304
258,1701
861,568
240,739
471,699
912,100
48,481
711,1775
1916,184
691,1602
861,1900
226,693
896,1134
1853,330
1349,1153
1409,553
1153,249
342,1038
1789,557
1299,636
685,1249
874,713
1960,513
551,756
257,452
269,841
619,1083
56,731
1578,25
1201,822
437,335
484,1748
514,335
739,1972
1789,1280
1512,1584
1716,1245
767,96
760,1333
1255,1526
692,315
1759,877
1502,765
1715,702
1450,1108
1487,280
692,1471
733,626
464,497
1118,1893
1617,1790
1257,1316
1221,1212
449,1358
1330,1023
911,976
1211,1185
180,424
1202,981
1107,1532
942,1940
1032,168
188,1104
1917,1717
1965,664
1896,1120
1498,890
1881,1724
864,622
445,248
747,357
1967,1392
1892,1903
1474,776
592,1979
159,269
1805,1127
1659,1107
254,1284
1499,1144
1571,1087
1410,1549
1821,734
1838,965
605,1462
94,1310
1283,1897
1848,1555
626,1526
1003,119
1794,141
1367,613
828,192
471,1082
736,1265
1837,1931
813,522
434,1087
1701,1506
1514,1531
241,290
1625,942
494,616
397,18
1582,1990
1123,1865
617,143
173,565
1281,93
1502,679
1897,1642
1271,1776
726,653
1685,1205
836,307
1677,542
1789,323
317,223
443,1048
195,315
1496,1325
1884,459
545,519
1809,1404
940,1763
1034,475
367,1812
950,242
397,1629
1833,670
723,425
905,1839
1437,457
1470,198
1809,1712
1558,31
423,370
1481,1230
1939,378
317,1215
1189,1580
1261,1387
269,15
1785,1161
1364,1269
215,586
294,1719
1777,1599
1987,574
1551,709
1733,1139
1858,1408
1151,379
1187,532
804,1476
1351,683
1955,514
1008,1476
757,11
222,304
1005,240
318,1934
46,1949
578,731
1719,60
1106,311
493,98
1614,1312
1480,996
1289,1447
82,1625
203,1769
1683,1362
1071,53
763,143
698,5
135,181
114,807
1751,1869
998,1668
527,243
629,932
143,1210
132,804
1202,1792
1104,1398
254,171
1196,1077
734,1965
1505,1613
396,448
1387,1124
1129,782
771,1867
372,944
871,1588
62,1432
1742,1262
342,1764
760,710
1851,1372
208,1131
294,1753
35,1575
1182,1417
1697,1088
1423,1918
1209,1102
1855,1142
1938,103
715,1429
1654,1105
1761,288
676,312
1090,937
1971,665
1126,1324
1514,33
973,138
823,68
407,1974
244,1726
427,1173
1876,1854
1612,807
1576,413
488,1052
536,1665
1002,499
1494,1787
1052,776
687,1928
941,533
579,288
686,1694
1750,1734
1406,407
1649,151
879,1707
1824,1803
490,1347
529,570
399,1539
1506,1039
292,1631
733,1452
444,107
470,905
1451,561
835,1154
556,1691
1009,156
111,1408
122,489
530,1472
928,56
1212,1122
1923,1177
342,1949
1924,948
1743,1313
1646,842
544,1368
735,1918
696,688
1300,163
905,1710
659,1623
1208,82
1867,1768
1506,1339
927,1058
424,696
85,284
883,394
1294,1831
671,248
1554,65
463,522
822,1264
1268,656
983,370
554,1857
1835,1058
1884,848
1198,213
1629,839
90,839
963,1206
527,44
752,420
444,624
129,357
809,1505
431,248
1302,366
700,1023
1238,1939
1942,723
1361,1641
818,674
1596,375
1034,157
4,661
1992,1616
1842,998
320,676
1859,50
715,1535
234,57
1933,1588
1655,3
1629,441
1872,137
1201,1147
316,624
950,939
1493,79
493,1319
757,1158
1059,100
460,1321
1759,1551
1961,117
1192,1337
1348,355
1581,1244
1745,895
222,1344
835,1664
902,1674
1815,1482
796,1485
978,1048
1241,55
1618,299
1257,568
720,747
620,342
1267,1614
1887,1795
1506,606
187,538
1469,1477
1363,1958
710,1287
1065,714
237,702
1592,18
128,1986
658,482
1070,626
150,1426
947,963
619,1446
251,24
1835,48
1051,1293
1363,1510
537,1296
991,1432
220,1987
1047,27
601,347
557,158
1218,1245
1354,725
1134,703
917,913
1254,451
1358,44
534,1608
1337,1376
954,1568
757,524
1084,1332
138,667
1886,675
1633,1653
1752,1620
489,519
1920,1153
1507,596
655,1767
818,785
1453,1462
1686,1387
1421,1777
651,452
1579,1785
84,1341
1231,670
1825,354
392,607
1163,758
1648,41
645,855
893,340
1629,298
1260,1583
412,1270
1066,276
1141,704
508,343
1184,696
1044,499
100,1191
710,447
868,1836
609,1844
1786,371
721,1682
444,493
1862,1398
813,736
1995,1868
1818,1689
554,1014
228,1318
1292,444
963,1253
885,1239
998,9
1033,1083
414,1289
1445,1274
629,1780
500,1198
1735,1238
1453,1588
1701,700
156,1582
1799,1717
1177,1814
1259,280
1149,706
1592,1349
1315,1098
1765,1198
1137,788
1954,1858
163,534
1082,272
742,1401
1680,857
1977,314
513,1696
1142,1707
977,679
840,1777
1361,1923
1527,1079
529,1574
174,1218
167,1762
1739,1019
808,1576
829,558
1986,232
476,1832
1476,1750
501,532
1978,1177
1008,430
684,837
1720,1486
1186,1562
1456,453
380,1107
1096,1977
1432,136
1256,1966
1481,1466
318,9
475,265
463,1415
463,568
233,1095
405,1143
110,654
1829,1074
1284,1740
1616,268
507,445
159,1734
1389,172
347,1599
396,1078
1645,603
98,1644
1320,1048
1767,42
1738,343
415,752
1248,1359
556,1235
1547,39
174,118
679,456
1408,1774
227,1592
1408,1844
640,1204
1023,1388
1756,1932
29,1946
420,112
53,1355
1883,149
866,84
1790,190
732,368
1146,1285
203,71
8,1936
1398,354
826,493
2,615
394,1634
1200,977
1541,1535
1585,1634
197,995
295,1691
244,1061
1550,1541
1388,240
738,106
777,1630
736,1278
1777,788
